NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,normalized_name_nmr,matched_name,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,normalized_name_f100,JUST_CAPITALS_JUST_100_RANK,Company,Industry,normalized_name_jc100,POINTS_OF_LIGHT_CIVIC_50,normalized_name_c50
34,T-Mobile,Bellevue,WA,Media & Telecommunications,3,87.64,97.4,83.17,82.45,tmobile,tmobile,,,,,,,,,,,,,,,,
35,CBRE,Dallas,TX,Real Estate & Housing,1,87.63,89.79,88.15,85.05,cbre,cbre,,,,,,,,,,,,,,,,
36,HNI,Muscatine,IA,Retail & Consumer Goods,3,87.54,91.38,77.92,93.41,hni,hni,,,,,,,,,,,,,,,,
37,ManpowerGroup,Milwaukee,WI,Professional Services,1,87.43,90.59,79.24,92.55,manpowergroup,manpowergroup,,,,,,,,,,,,,,,,
38,Infinera,San Jose,CA,Technology,11,87.4,94.21,74.07,94.03,infinera,infinera,,,,,,,,,,,,,,,,
39,Motorola Solutions,Chicago,IL,Technology,12,87.23,89.36,84.8,87.62,motorola solutions,motorola solutions,,,,,,,,,,,,,,,,
40,Xylem,Washington,D.C.,Capital Goods,4,87.17,90.86,86.06,84.67,xylem,xylem,,,,,,,,,,,,,,,,
41,Otis,Farmington,CT,Capital Goods,5,87.13,89.42,78.45,93.6,otis,otis,,,,,,,,,,,,,,,,
42,Apple,Cupertino,CA,Technology,13,87.09,95.21,82.1,84.07,apple,apple,,,,,,,,,,,,,,,,
43,DXC Technology,Tysons,VA,Professional Services,2,86.89,93.04,69.76,97.96,dxc technology,dxc technology,,,,,,,,,,,,,,,,
44,Edgewell Personal Care,Shelton,CT,Retail & Consumer Goods,4,86.87,90.36,72.95,97.39,edgewell personal care,edgewell personal care,,,,,,,,,,,,,,,,
45,Humana,Louisville,KY,Financial,5,86.49,91.34,86.07,82.14,humana,humana,,,,,,,,,,,,,,,,
46,Teradata,San Diego,CA,Software,4,86.42,91.91,71.08,96.38,teradata,teradata,,,,,,,,,,,,,,,,
47,Organon,Jersey City,NJ,"Health Care, Life Sciences & Pharmaceuticals",8,86.41,85.41,92.38,81.52,organon,organon,,,,,,,,,,,,,,,,
48,Keurig Dr Pepper,Burlington,MA,Retail & Consumer Goods,5,86.36,93.0,79.29,86.88,keurig dr pepper,keurig dr pepper,,,,,,,,,,,,,,,,
49,S&P Global,New York City,NY,Financial,6,86.36,97.28,82.04,79.85,sp global,sp global,,,,,,,,,,,,,,,,
50,General Motors,Detroit,MI,Automotive & Components,2,86.26,87.63,93.67,77.56,general motors,general motors,,,,,,,,,,,,,,,,
51,Cadence,San Jose,CA,Software,5,86.06,91.29,82.3,84.69,cadence,cadence,9.0,Cadence,22%,58%,132,60,60,60,Yes,cadence,,,,,,
52,Juniper Networks,Sunnyvale,CA,Technology,14,85.95,89.3,69.39,99.26,juniper networks,juniper networks,,,,,,,,,,,,,,,,
53,Colgate-Palmolive,New York City,NY,Retail & Consumer Goods,6,85.91,94.71,86.69,76.43,colgatepalmolive,colgatepalmolive,,,,,,,,,,,,,,,,
54,Kimberly-Clark,Dallas,TX,Retail & Consumer Goods,7,85.86,80.12,86.57,90.99,kimberlyclark,kimberlyclark,,,,,,,,,,,,,,,,
55,UnitedHealth Group,Minnetonka,MN,"Health Care, Life Sciences & Pharmaceuticals",9,85.83,85.74,96.06,75.78,unitedhealth group,unitedhealth group,,,,,,,,,,,,,,,UNITEDHEALTH GROUP,unitedhealth group
56,Fifth Third Bank,Cincinnati,OH,Financial,7,85.83,89.32,94.73,73.52,fifth third bank,fifth third bank,,,,,,,,,,,,,,,,
57,Unum Group,Chattanooga,TN,Financial,8,85.8,85.54,93.59,78.35,unum group,unum group,,,,,,,,,,,,,,,UNUM GROUP,unum group
58,Nasdaq,New York City,NY,Financial,9,85.74,92.19,76.57,88.55,nasdaq,nasdaq,,,,,,,,,,,,,,,,
59,Ralph Lauren,New York City,NY,Retail & Consumer Goods,8,85.72,92.72,75.08,89.44,ralph lauren,ralph lauren,,,,,,,,,,,,,,,,
60,Las Vegas Sands,Las Vegas,NV,"Hotels, Dining & Leisure",1,85.56,97.46,79.37,79.94,las vegas sands,las vegas sands,,,,,,,,,,,,,,,,
61,Target,Minneapolis,MN,Retail & Consumer Goods,9,85.52,88.27,85.99,82.38,target,target,65.0,Target,-,-,10000,20,20,20,-,target,,,,,,
62,IFF,New York City,NY,Materials & Chemicals,2,85.43,88.07,85.88,82.44,iff,iff,,,,,,,,,,,,,,,,
63,Grainger,Lake Forest,IL,Capital Goods,6,85.11,90.35,81.78,83.3,grainger,grainger,,,,,,,,,,,,,,,,
64,Avient,Avon Lake,OH,Materials & Chemicals,3,85.0,88.97,81.49,84.63,avient,avient,,,,,,,,,,,,,,,,
65,Estée Lauder Companies,New York City,NY,Retail & Consumer Goods,10,84.99,92.67,94.26,68.15,estée lauder companies,estée lauder companies,,,,,,,,,,,,,,,,
66,Baxter,Deerfield,IL,"Health Care, Life Sciences & Pharmaceuticals",10,84.98,90.96,91.34,72.72,baxter,baxter,,,,,,,,,,,,,,,,
67,Fluor,Irving,TX,Capital Goods,7,84.86,89.01,77.76,87.9,fluor,fluor,,,,,,,,,,,,,,,,
68,State Street,Boston,MA,Financial,10,84.84,84.8,89.73,80.07,state street,state street,,,,,,,,,,,,,,,,
69,Lowe's Companies,Mooresville,NC,Retail & Consumer Goods,11,84.82,88.41,83.47,82.68,lowes companies,lowes companies,,,,,,,,,,,,,,,,
