STANDARDIZED_COMPANY_x,STANDARDIZED_COMPANY_y,match,COMPANY,NAME,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK
nov,,,NOV,,162,
talos energy,,,Talos Energy,,163,
hudson pacific properties,,,Hudson Pacific Properties,,164,
air products and chemicals,,,Air Products and Chemicals,,165,
essential utilities,,,"Essential Utilities, Inc.",,166,
workday,,,Workday,,167,
molson coors beverage,,,Molson Coors Beverage,,168,
terex,,,Terex,,169,
williamssonoma,,,Williams-Sonoma,,170,
ribbon,,,Ribbon,,171,
csx,,,CSX,,172,
equity residential,,,Equity Residential,,173,
marriott international,marriott international,marriott international,Marriott International,Marriott International,174,8.0
sealed air,,,Sealed Air,,175,
mattel,,,Mattel,,176,
servicenow,servicenow,servicenow,ServiceNow,ServiceNow,177,68.0
lpl financial,,,LPL Financial,,178,
invesco,,,Invesco,,179,
dolby,,,Dolby,,180,
mettlertoledo,,,Mettler-Toledo,,181,
hilton,hilton,hilton,Hilton,Hilton,182,1.0
howmet aerospace,,,Howmet Aerospace,,183,
macerich,,,Macerich,,184,
cirrus logic,,,Cirrus Logic,,185,
qurate retail group,,,Qurate Retail Group,,186,
bath body works,,,Bath & Body Works,,187,
empire state realty trust,,,Empire State Realty Trust,,188,
snap,,,Snap,,189,
mueller water products,,,Mueller Water Products,,190,
mccormick,,,McCormick & Company,,191,
onsemi,,,Onsemi,,192,
ball,,,Ball,,193,
helen of troy,,,Helen of Troy,,194,
verizon communications,,,Verizon Communications,,195,
carters,,,Carter's,,196,
california resources,,,California Resources,,197,
the home depot,,,The Home Depot,,198,
berry global,,,Berry Global,,199,
sonoco products,,,Sonoco Products,,200,
principal financial group,,,Principal Financial Group,,201,
upwork,,,Upwork,,202,
amphenol,,,Amphenol,,203,
amgen,,,Amgen,,204,
huntington bancshares,,,Huntington Bancshares,,205,
robert half international,robert half,robert half,Robert Half International,Robert Half,206,61.0
caleres,,,Caleres,,207,
superior industries,,,Superior Industries,,208,
enersys,,,EnerSys,,209,
weatherford,,,Weatherford,,210,
silicon labs,,,Silicon Labs,,211,
halliburton,,,Halliburton,,212,
macys,,,Macy's,,213,
carrier,,,Carrier,,214,
jb hunt,,,J.B. Hunt,,215,
harleydavidson,ey,ey,Harley-Davidson,EY,216,64.0
mplx,,,MPLX,,217,
post,,,Post,,218,
dicks sporting goods,,,DICK'S Sporting Goods,,219,
jones lang lasalle,,,Jones Lang LaSalle,,220,
insulet,,,Insulet,,221,
icf,,,ICF,,222,
illinois tool works,,,Illinois Tool Works,,223,
kroger,,,Kroger,,224,
western digital,,,Western Digital,,225,
voya financial,,,Voya Financial,,226,
kadant,,,Kadant,,227,
manitowoc,,,Manitowoc,,228,
omnicom group,,,Omnicom Group,,229,
ormat technologies,,,Ormat Technologies,,230,
carlisle companies,,,Carlisle Companies,,231,
belden,,,Belden,,232,
pnc financial services,,,PNC Financial Services,,233,
pitney bowes,ey,ey,Pitney Bowes,EY,234,64.0
crown holdings,,,Crown Holdings,,235,
united natural foods,,,United Natural Foods,,236,
kosmos energy,,,Kosmos Energy,,237,
waters,,,Waters,,238,
jbg smith,,,JBG Smith,,239,
hubspot,,,HubSpot,,240,
vontier,,,Vontier,,241,
bank of new york mellon,,,Bank of New York Mellon,,242,
greif,,,Greif,,243,
oneok,,,ONEOK,,244,
kennametal,,,Kennametal,,245,
fortive,,,Fortive,,246,
sunstone hotel investors,,,Sunstone Hotel Investors,,247,
pebblebrook hotel trust,,,Pebblebrook Hotel Trust,,248,
vital energy,,,Vital Energy,,249,
foot locker,,,Foot Locker,,250,
usana health sciences,,,USANA Health Sciences,,251,
union pacific,,,Union Pacific,,252,
spire,,,Spire,,253,
ipg photonics,,,IPG Photonics,,254,
caesars entertainment,,,Caesars Entertainment,,255,
masco,,,Masco,,256,
charles river laboratories,,,Charles River Laboratories,,257,
ge healthcare technologies,,,GE HealthCare Technologies,,258,
fortinet,,,Fortinet,,259,
murphy oil,,,Murphy Oil,,260,
zillow,,,Zillow,,261,
ryman hospitality properties,,,Ryman Hospitality Properties,,262,
park hotels resorts,,,Park Hotels & Resorts,,263,
