RANK_x,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,original_name,match_name,score,match_index,RANK_y,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,UNNAMED: 9
15,american tower,Boston,MA,Media & Telecommunications,1,89.3,96.15,87.29,84.54,,,,14,,,,,,,,,,
16,paypal,San Jose,CA,Financial,2,89.29,87.95,89.56,90.44,,,,15,,,,,,,,,,
17,the hartford,Hartford,CT,Financial,3,89.26,81.62,96.76,89.49,,,,16,,,,,,,,,,
18,keysight,Santa Rosa,CA,Technology,6,89.08,89.37,92.65,85.32,,,,17,,,,,,,,,,
19,advanced micro devices,Santa Clara,CA,Technology,7,89.02,97.49,83.02,86.65,,,,18,,,,,,,,,,
20,regeneron,Tarrytown,NY,"Health Care, Life Sciences & Pharmaceuticals",4,88.93,87.05,92.88,86.95,,,,19,,,,,,,,,,
21,borgwarner,Auburn Hills,MI,Automotive & Components,1,88.92,87.95,93.23,85.67,,,,20,,,,,,,,,,
22,autodesk,San Francisco,CA,Software,2,88.91,84.99,89.22,92.6,,,,21,,,,,,,,,,
23,danaher,Washington,D.C.,"Health Care, Life Sciences & Pharmaceuticals",5,88.86,87.08,85.24,94.35,,,,22,,,,,,,,,,
24,ingersoll rand,Davidson,NC,Capital Goods,2,88.64,91.75,78.51,95.75,,,,23,,,,,,,,,,
25,amn healthcare,Dallas,TX,"Health Care, Life Sciences & Pharmaceuticals",6,88.51,88.67,91.83,85.12,,,,24,,,,,,,,,,
26,lam research,Fremont,CA,Technology,8,88.44,98.34,83.45,83.64,,,,25,,,,,,,,,,
28,zurn elkay water solutions,Milwaukee,WI,Capital Goods,3,88.17,94.62,74.6,95.38,,,,27,,,,,,,,,,
29,qualcomm,San Diego,CA,Technology,9,88.03,90.75,77.82,95.61,,,,28,,,,,,,,,,
30,ciena,Hanover,MD,Media & Telecommunications,2,87.96,97.42,81.28,85.27,,,,29,,,,,,,,,,
32,thermo fisher scientific,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",7,87.79,90.66,86.84,85.98,,,,31,,,,,,,,,,
34,tmobile,Bellevue,WA,Media & Telecommunications,3,87.64,97.4,83.17,82.45,,,,33,,,,,,,,,,
35,cbre,Dallas,TX,Real Estate & Housing,1,87.63,89.79,88.15,85.05,,,,34,,,,,,,,,,
36,hni,Muscatine,IA,Retail & Consumer Goods,3,87.54,91.38,77.92,93.41,,,,35,,,,,,,,,,
37,manpowergroup,Milwaukee,WI,Professional Services,1,87.43,90.59,79.24,92.55,,,,36,,,,,,,,,,
38,infinera,San Jose,CA,Technology,11,87.4,94.21,74.07,94.03,,,,37,,,,,,,,,,
39,motorola solutions,Chicago,IL,Technology,12,87.23,89.36,84.8,87.62,,,,38,,,,,,,,,,
40,xylem,Washington,D.C.,Capital Goods,4,87.17,90.86,86.06,84.67,,,,39,,,,,,,,,,
41,otis,Farmington,CT,Capital Goods,5,87.13,89.42,78.45,93.6,,,,40,,,,,,,,,,
42,apple,Cupertino,CA,Technology,13,87.09,95.21,82.1,84.07,,,,41,,,,,,,,,,
43,dxc technology,Tysons,VA,Professional Services,2,86.89,93.04,69.76,97.96,,,,42,,,,,,,,,,
44,edgewell personal care,Shelton,CT,Retail & Consumer Goods,4,86.87,90.36,72.95,97.39,,,,43,,,,,,,,,,
45,humana,Louisville,KY,Financial,5,86.49,91.34,86.07,82.14,,,,44,,,,,,,,,,
46,teradata,San Diego,CA,Software,4,86.42,91.91,71.08,96.38,,,,45,,,,,,,,,,
47,organon,Jersey City,NJ,"Health Care, Life Sciences & Pharmaceuticals",8,86.41,85.41,92.38,81.52,,,,46,,,,,,,,,,
48,keurig dr pepper,Burlington,MA,Retail & Consumer Goods,5,86.36,93.0,79.29,86.88,,,,47,,,,,,,,,,
49,sp global,New York City,NY,Financial,6,86.36,97.28,82.04,79.85,,,,48,,,,,,,,,,
50,general motors,Detroit,MI,Automotive & Components,2,86.26,87.63,93.67,77.56,,,,49,,,,,,,,,,
52,juniper networks,Sunnyvale,CA,Technology,14,85.95,89.3,69.39,99.26,,,,51,,,,,,,,,,
53,colgatepalmolive,New York City,NY,Retail & Consumer Goods,6,85.91,94.71,86.69,76.43,,,,52,,,,,,,,,,
54,kimberlyclark,Dallas,TX,Retail & Consumer Goods,7,85.86,80.12,86.57,90.99,,,,53,,,,,,,,,,
55,unitedhealth group,Minnetonka,MN,"Health Care, Life Sciences & Pharmaceuticals",9,85.83,85.74,96.06,75.78,,,,54,,,,,,,,,,
56,fifth third bank,Cincinnati,OH,Financial,7,85.83,89.32,94.73,73.52,,,,55,,,,,,,,,,
57,unum group,Chattanooga,TN,Financial,8,85.8,85.54,93.59,78.35,,,,56,,,,,,,,,,
58,nasdaq,New York City,NY,Financial,9,85.74,92.19,76.57,88.55,,,,57,,,,,,,,,,
59,ralph lauren,New York City,NY,Retail & Consumer Goods,8,85.72,92.72,75.08,89.44,,,,58,,,,,,,,,,
60,las vegas sands,Las Vegas,NV,"Hotels, Dining & Leisure",1,85.56,97.46,79.37,79.94,,,,59,,,,,,,,,,
62,iff,New York City,NY,Materials & Chemicals,2,85.43,88.07,85.88,82.44,,,,61,,,,,,,,,,
63,grainger,Lake Forest,IL,Capital Goods,6,85.11,90.35,81.78,83.3,,,,62,,,,,,,,,,
64,avient,Avon Lake,OH,Materials & Chemicals,3,85.0,88.97,81.49,84.63,,,,63,,,,,,,,,,
65,estee lauder companies,New York City,NY,Retail & Consumer Goods,10,84.99,92.67,94.26,68.15,,,,64,,,,,,,,,,
66,baxter,Deerfield,IL,"Health Care, Life Sciences & Pharmaceuticals",10,84.98,90.96,91.34,72.72,,,,65,,,,,,,,,,
67,fluor,Irving,TX,Capital Goods,7,84.86,89.01,77.76,87.9,,,,66,,,,,,,,,,
68,state street,Boston,MA,Financial,10,84.84,84.8,89.73,80.07,,,,67,,,,,,,,,,
69,lowes companies,Mooresville,NC,Retail & Consumer Goods,11,84.82,88.41,83.47,82.68,,,,68,,,,,,,,,,
70,dell technologies,Round Rock,TX,Technology,15,84.78,86.65,79.08,88.7,,,,69,,,,,,,,,,
71,aptargroup,Crystal Lake,IL,Materials & Chemicals,4,84.78,94.35,81.7,78.38,,,,70,,,,,,,,,,
72,kla,Milpitas,CA,Technology,16,84.77,95.57,73.68,85.16,,,,71,,,,,,,,,,
73,the clorox company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,,,,72,,,,,,,,,,
74,lear,Southfield,MI,Automotive & Components,3,84.61,84.37,82.83,86.7,,,,73,,,,,,,,,,
75,moodys,New York City,NY,Financial,11,84.49,84.07,84.47,85.01,,,,74,,,,,,,,,,
76,pfizer,New York City,NY,"Health Care, Life Sciences & Pharmaceuticals",11,84.48,84.54,91.45,77.54,,,,75,,,,,,,,,,
77,prologis,San Francisco,CA,Real Estate & Housing,2,84.46,88.01,89.27,76.18,,,,76,,,,,,,,,,
78,baker hughes,Houston,TX,Energy & Utilities,1,84.44,92.42,72.91,88.09,,,,77,,,,,,,,,,
79,microchip,Chandler,AZ,Technology,17,84.38,92.98,64.23,96.03,,,,78,,,,,,,,,,
82,owens corning,Toledo,OH,Materials & Chemicals,5,84.28,83.73,84.75,84.45,,,,81,,,,,,,,,,
83,boston properties,Boston,MA,Real Estate & Housing,3,84.16,100.0,79.58,72.98,,,,82,,,,,,,,,,
84,microsoft,Redmond,WA,Software,6,84.14,96.64,68.62,87.27,,,,83,,,,,,,,,,
85,lumentum,San Jose,CA,Technology,18,84.14,93.88,81.6,77.03,,,,84,,,,,,,,,,
86,public service enterprise group,Newark,NJ,Energy & Utilities,2,84.07,81.82,89.88,80.58,,,,85,,,,,,,,,,
87,xerox,Norwalk,CT,Technology,19,84.0,91.87,81.25,78.97,,,,86,,,,,,,,,,
88,host hotels resorts,Bethesda,MD,Real Estate & Housing,4,83.99,96.69,78.03,77.34,,,,87,,,,,,,,,,
89,cognizant,Teaneck,NJ,Professional Services,3,83.98,88.54,73.4,90.1,,,,88,,,,,,,,,,
90,gap,San Francisco,CA,Retail & Consumer Goods,13,83.97,84.18,78.92,88.88,,,,89,,,,,,,,,,
91,comerica,Dallas,TX,Financial,14,83.96,88.92,89.43,73.63,,,,90,,,,,,,,,,
92,morningstar,Chicago,IL,Financial,15,83.96,81.79,91.37,78.81,,,,91,,,,,,,,,,
93,sba,Boca Raton,FL,Media & Telecommunications,4,83.92,84.06,79.31,88.46,,,,92,,,,,,,,,,
94,equinix,Redwood City,CA,Media & Telecommunications,5,83.85,88.63,86.26,76.75,,,,93,,,,,,,,,,
95,church dwight,Ewing Township,NJ,Retail & Consumer Goods,14,83.77,91.12,73.65,86.63,,,,94,,,,,,,,,,
96,emerson,St. Louis,MO,Capital Goods,8,83.76,95.02,73.92,82.42,,,,95,,,,,,,,,,
97,mt bank,Buffalo,NY,Financial,16,83.73,86.49,88.48,76.31,,,,96,,,,,,,,,,
98,albemarle,Charlotte,NC,Materials & Chemicals,6,83.68,84.03,88.01,79.08,,,,97,,,,,,,,,,
99,watts,North Andover,MA,Capital Goods,9,83.66,88.22,67.27,95.57,,,,98,,,,,,,,,,
100,itron,Liberty Lake,WA,Professional Services,4,83.65,93.14,64.18,93.73,,,,99,,,,,,,,,,
101,fmc,Philadelphia,PA,Materials & Chemicals,7,83.56,90.17,72.45,88.17,,,,100,,,,,,,,,,
102,agco,Duluth,GA,Capital Goods,10,83.5,88.89,77.0,84.69,,,,101,,,,,,,,,,
103,deere,Moline,IL,Capital Goods,11,83.42,92.31,83.21,74.83,,,,102,,,,,,,,,,
104,prudential,Newark,NJ,Financial,17,83.42,83.34,92.59,74.4,,,,103,,,,,,,,,,
105,avnet,Phoenix,AZ,Technology,20,83.41,93.8,79.01,77.53,,,,104,,,,,,,,,,
106,comfort systems usa,Houston,TX,Capital Goods,12,83.33,86.99,71.07,92.0,,,,105,,,,,,,,,,
108,jabil,St. Petersburg,FL,Technology,21,83.22,91.07,67.55,91.12,,,,107,,,,,,,,,,
109,regency centers,Jacksonville,FL,Real Estate & Housing,5,83.19,82.53,86.04,81.09,,,,108,,,,,,,,,,
110,ppg,Pittsburgh,PA,Materials & Chemicals,8,83.19,88.57,82.05,79.03,,,,109,,,,,,,,,,
111,zoetis,Parsippany,NJ,"Health Care, Life Sciences & Pharmaceuticals",12,83.17,91.65,73.03,84.92,,,,110,,,,,,,,,,
112,digital realty,Austin,TX,Real Estate & Housing,6,83.15,90.43,73.63,85.47,,,,111,,,,,,,,,,
113,koppers,Pittsburgh,PA,Materials & Chemicals,9,83.06,86.48,77.08,85.7,,,,112,,,,,,,,,,
114,brixmor property group,New York City,NY,Real Estate & Housing,7,82.95,83.31,90.38,75.24,,,,113,,,,,,,,,,
115,intel,Santa Clara,CA,Technology,22,82.84,86.69,81.24,80.67,,,,114,,,,,,,,,,
116,avalonbay communities,Arlington,VA,Real Estate & Housing,8,82.83,94.25,81.99,72.36,,,,115,,,,,,,,,,
117,mondelez,Chicago,IL,Retail & Consumer Goods,15,82.82,88.43,81.17,78.93,,,,116,,,,,,,,,,
118,hasbro,Pawtucket,RI,Retail & Consumer Goods,16,82.76,87.99,86.97,73.41,,,,117,,,,,,,,,,
119,waste management,Houston,TX,Energy & Utilities,3,82.64,87.0,83.62,77.39,,,,118,,,,,,,,,,
120,exl,New York City,NY,Professional Services,5,82.61,78.23,77.33,92.35,,,,119,,,,,,,,,,
121,united rentals,Stamford,CT,Professional Services,6,82.6,81.82,72.55,93.5,,,,120,,,,,,,,,,
122,bread financial,Columbus,OH,Financial,19,82.59,89.09,73.44,85.32,,,,121,,,,,,,,,,
123,pvh,New York City,NY,Retail & Consumer Goods,17,82.53,88.33,75.82,83.53,,,,122,,,,,,,,,,
124,sensata technologies,Attleboro,MA,Technology,23,82.52,79.79,83.02,84.83,,,,123,,,,,,,,,,
125,sherwinwilliams,Cleveland,OH,Materials & Chemicals,10,82.51,84.28,77.73,85.6,,,,124,,,,,,,,,,
126,jm smucker,Orrville,OH,Retail & Consumer Goods,18,82.47,90.45,74.31,82.73,,,,125,,,,,,,,,,
127,american water,Camden,NJ,Energy & Utilities,4,82.44,72.73,87.65,87.0,,,,126,,,,,,,,,,
128,labcorp,Burlington,NC,"Health Care, Life Sciences & Pharmaceuticals",13,82.24,90.24,83.11,73.46,,,,127,,,,,,,,,,
129,ansys,Canonsburg,PA,Software,7,82.2,71.33,83.17,92.17,,,,128,,,,,,,,,,
130,federal realty investment trust,North Bethesda,MD,Real Estate & Housing,9,82.15,90.85,79.68,76.0,,,,129,,,,,,,,,,
131,broadcom,San Jose,CA,Technology,24,82.14,88.48,72.08,85.95,,,,130,,,,,,,,,,
132,texas instruments,Dallas,TX,Technology,25,82.09,81.26,90.89,74.18,,,,131,,,,,,,,,,
133,interface,Atlanta,GA,Materials & Chemicals,11,82.04,89.25,64.22,92.72,,,,132,,,,,,,,,,
135,kraft heinz,Chicago,IL,Retail & Consumer Goods,19,81.97,87.09,76.2,82.7,,,,134,,,,,,,,,,
136,dana,Maumee,OH,Automotive & Components,4,81.91,89.4,72.98,83.44,,,,135,,,,,,,,,,
137,ibm,Armonk,NY,Technology,26,81.89,77.87,93.17,74.71,,,,136,,,,,,,,,,
138,kimco realty,Jericho,NY,Real Estate & Housing,10,81.85,86.42,89.05,70.18,,,,137,,,,,,,,,,
139,armstrong world industries,Lancaster,PA,Capital Goods,13,81.85,79.32,77.7,88.6,,,,138,,,,,,,,,,
140,gartner,Stamford,CT,Professional Services,7,81.84,70.54,84.68,90.36,,,,139,,,,,,,,,,
141,sempra,San Diego,CA,Energy & Utilities,5,81.79,68.2,94.13,83.11,,,,140,,,,,,,,,,
142,welltower,Toledo,OH,Real Estate & Housing,11,81.73,92.75,80.46,72.08,,,,141,,,,,,,,,,
143,best buy,Richfield,MN,Retail & Consumer Goods,20,81.72,89.7,82.94,72.61,,,,142,,,,,,,,,,
144,micron,Boise,ID,Technology,27,81.62,73.62,91.59,79.73,,,,143,,,,,,,,,,
145,enphase,Fremont,CA,Energy & Utilities,6,81.48,85.53,68.16,90.83,,,,144,,,,,,,,,,
146,littelfuse,Chicago,IL,Technology,28,81.47,92.25,71.95,80.3,,,,145,,,,,,,,,,
147,stanley black decker,New Britain,CT,Capital Goods,14,81.44,93.57,77.63,73.21,,,,146,,,,,,,,,,
148,whirlpool,Benton Harbor,MI,Retail & Consumer Goods,21,81.4,86.24,76.45,81.58,,,,147,,,,,,,,,,
149,hess,New York City,NY,Energy & Utilities,7,81.35,87.68,72.05,84.41,,,,148,,,,,,,,,,
150,wolfspeed,Durham,NC,Technology,29,81.31,82.44,73.87,87.71,,,,149,,,,,,,,,,
151,hormel foods,Austin,MN,Retail & Consumer Goods,22,81.22,90.11,73.08,80.56,,,,150,,,,,,,,,,
152,dropbox,San Francisco,CA,Technology,30,81.14,87.91,67.95,87.64,,,,151,,,,,,,,,,
153,alnylam,Cambridge,MA,"Health Care, Life Sciences & Pharmaceuticals",14,81.09,88.75,77.58,77.03,,,,152,,,,,,,,,,
154,advansix,Parsippany,NJ,Materials & Chemicals,12,81.06,73.22,79.97,90.07,,,,153,,,,,,,,,,
*,dayforce,Minneapolis,MN,Software,*,81.03,92.0,69.9,81.3,,,,154,,,,,,,,,,
155,leslies,Phoenix,AZ,Retail & Consumer Goods,23,80.99,86.54,84.18,72.35,,,,155,,,,,,,,,,
156,iron mountain,Boston,MA,Software,9,80.98,94.79,77.6,70.66,,,,156,,,,,,,,,,
157,deckers outdoor,Goleta,CA,Retail & Consumer Goods,24,80.94,87.1,75.48,80.35,,,,157,,,,,,,,,,
158,wesco,Pittsburgh,PA,Capital Goods,15,80.94,79.95,79.51,83.45,,,,158,,,,,,,,,,
159,walt disney,Burbank,CA,Media & Telecommunications,6,80.92,86.38,77.68,78.78,,,,159,,,,,,,,,,
160,healthpeak properties,Denver,CO,Real Estate & Housing,12,80.91,90.59,73.75,78.49,,,,160,,,,,,,,,,
161,nov,Houston,TX,Energy & Utilities,8,80.88,81.0,76.15,85.56,,,,161,,,,,,,,,,
162,talos energy,Houston,TX,Energy & Utilities,9,80.88,83.71,72.91,86.09,,,,162,,,,,,,,,,
163,hudson pacific properties,Los Angeles,CA,Real Estate & Housing,13,80.83,85.97,83.77,72.84,,,,163,,,,,,,,,,
164,air products and chemicals,Allentown,PA,Materials & Chemicals,13,80.76,75.73,89.41,77.22,,,,164,,,,,,,,,,
165,essential utilities inc,Bryn Mawr,PA,Energy & Utilities,10,80.7,82.44,82.49,77.24,,,,165,,,,,,,,,,
166,workday,Pleasanton,CA,Technology,31,80.65,82.9,76.97,82.15,,,,166,,,,,,,,,,
167,molson coors beverage,Chicago,IL,Retail & Consumer Goods,25,80.57,81.68,80.95,79.17,,,,167,,,,,,,,,,
168,terex,Norwalk,CT,Capital Goods,16,80.53,73.46,83.0,85.19,,,,168,,,,,,,,,,
169,williamssonoma,San Francisco,CA,Retail & Consumer Goods,26,80.49,81.72,78.05,81.78,,,,169,,,,,,,,,,
170,ribbon,Plano,TX,Media & Telecommunications,7,80.46,87.17,71.74,82.56,,,,170,,,,,,,,,,
171,csx,Jacksonville,FL,Transport & Logistics,1,80.37,83.71,78.01,79.47,,,,171,,,,,,,,,,
172,equity residential,Chicago,IL,Real Estate & Housing,14,80.36,85.86,78.13,77.18,,,,172,,,,,,,,,,
174,sealed air,Charlotte,NC,Materials & Chemicals,14,80.26,83.65,73.84,83.38,,,,174,,,,,,,,,,
175,mattel,El Segundo,CA,Retail & Consumer Goods,27,80.23,82.69,87.84,70.25,,,,175,,,,,,,,,,
177,lpl financial,San Diego,CA,Financial,20,80.1,88.93,77.16,74.29,,,,177,,,,,,,,,,
178,invesco,Atlanta,GA,Financial,21,80.08,88.86,73.75,77.72,,,,178,,,,,,,,,,
179,dolby,San Francisco,CA,Technology,32,80.07,78.74,76.33,85.23,,,,179,,,,,,,,,,
180,mettlertoledo,Columbus,OH,Capital Goods,17,80.04,82.86,71.54,85.8,,,,180,,,,,,,,,,
181,hilton,McLean,VA,"Hotels, Dining & Leisure",3,80.02,79.4,83.37,77.38,,,,181,,,,,,,,,,
182,howmet aerospace,Pittsburgh,PA,Capital Goods,18,80.01,80.29,72.37,87.44,,,,182,,,,,,,,,,
183,macerich,Santa Monica,CA,Real Estate & Housing,15,79.97,96.56,71.32,72.14,,,,183,,,,,,,,,,
184,cirrus logic,Austin,TX,Technology,33,79.9,74.44,70.11,95.24,,,,184,,,,,,,,,,
185,qurate retail group,West Chester,PA,Retail & Consumer Goods,28,79.89,87.55,83.04,69.18,,,,185,,,,,,,,,,
186,bath body works,Columbus,OH,Retail & Consumer Goods,29,79.88,72.42,87.54,79.75,,,,186,,,,,,,,,,
187,empire state realty trust,New York City,NY,Real Estate & Housing,16,79.88,93.83,60.58,85.31,,,,187,,,,,,,,,,
188,snap,Santa Monica,CA,Media & Telecommunications,8,79.84,72.03,86.43,81.14,,,,188,,,,,,,,,,
189,mueller water products,Atlanta,GA,Capital Goods,19,79.83,85.78,69.79,84.0,,,,189,,,,,,,,,,
190,mccormick company,Hunt Valley,MD,Retail & Consumer Goods,30,79.82,91.63,79.34,68.58,,,,190,,,,,,,,,,
191,onsemi,Phoenix,AZ,Technology,34,79.78,90.7,63.56,85.17,,,,191,,,,,,,,,,
192,ball,Westminster,CO,Materials & Chemicals,15,79.78,88.44,83.67,67.3,,,,192,,,,,,,,,,
193,helen of troy,El Paso,TX,Retail & Consumer Goods,31,79.76,84.34,68.32,86.7,,,,193,,,,,,,,,,
194,verizon communications,New York City,NY,Media & Telecommunications,9,79.72,78.6,81.81,78.83,,,,194,,,,,,,,,,
195,carters,Atlanta,GA,Retail & Consumer Goods,32,79.72,85.93,72.71,80.59,,,,195,,,,,,,,,,
196,california resources,Long Beach,CA,Energy & Utilities,11,79.69,73.04,78.08,88.02,,,,196,,,,,,,,,,
197,the home depot,Atlanta,GA,Retail & Consumer Goods,33,79.6,81.49,78.1,79.28,,,,197,,,,,,,,,,
198,berry global,Evansville,IN,Materials & Chemicals,16,79.53,88.79,72.99,76.89,,,,198,,,,,,,,,,
199,sonoco products,Hartsville,SC,Materials & Chemicals,17,79.53,79.89,74.38,84.39,,,,199,,,,,,,,,,
200,principal financial group,Des Moines,IA,Financial,22,79.52,72.22,89.27,77.16,,,,200,,,,,,,,,,
201,upwork,Santa Clara,CA,Professional Services,8,79.48,73.98,86.44,78.08,,,,201,,,,,,,,,,
202,amphenol,Wallingford,CT,Technology,35,79.45,88.16,67.82,82.44,,,,202,,,,,,,,,,
203,amgen,Thousand Oaks,CA,"Health Care, Life Sciences & Pharmaceuticals",15,79.43,90.25,73.55,74.59,,,,203,,,,,,,,,,
204,huntington bancshares,Columbus,OH,Financial,23,79.42,78.32,85.25,74.78,,,,204,,,,,,,,,,
205,robert half international,Menlo Park,CA,Professional Services,9,79.41,86.75,67.92,83.66,,,,205,,,,,,,,,,
206,caleres,St. Louis,MO,Retail & Consumer Goods,34,79.37,75.12,87.78,75.28,,,,206,,,,,,,,,,
207,superior industries,Southfield,MI,Automotive & Components,5,79.35,95.49,55.29,87.37,,,,207,,,,,,,,,,
