matched_name,HQ CITY,HQ STATE,INDUSTRY,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,JUST_CAPITALS_JUST_100_RANK,POINTS_OF_LIGHT_CIVIC_50
,Houston,TX,Energy & Utilities,486,91.0,46.0,
,Houston,TX,Energy & Utilities,486,91.0,47.0,
,Houston,TX,Energy & Utilities,486,91.0,51.0,
,Houston,TX,Energy & Utilities,486,91.0,52.0,
,Houston,TX,Energy & Utilities,486,91.0,58.0,
,Houston,TX,Energy & Utilities,486,91.0,63.0,
,Houston,TX,Energy & Utilities,486,91.0,64.0,
,Houston,TX,Energy & Utilities,486,91.0,66.0,
,Houston,TX,Energy & Utilities,486,91.0,68.0,
,Houston,TX,Energy & Utilities,486,91.0,70.0,
,Houston,TX,Energy & Utilities,486,91.0,72.0,
,Houston,TX,Energy & Utilities,486,91.0,73.0,
,Houston,TX,Energy & Utilities,486,91.0,75.0,
,Houston,TX,Energy & Utilities,486,91.0,78.0,
,Houston,TX,Energy & Utilities,486,91.0,82.0,
,Houston,TX,Energy & Utilities,486,91.0,83.0,
,Houston,TX,Energy & Utilities,486,91.0,85.0,
,Houston,TX,Energy & Utilities,486,91.0,86.0,
,Houston,TX,Energy & Utilities,486,91.0,89.0,
,Houston,TX,Energy & Utilities,486,91.0,90.0,
,Houston,TX,Energy & Utilities,486,91.0,94.0,
,Houston,TX,Energy & Utilities,486,91.0,95.0,
,Houston,TX,Energy & Utilities,486,91.0,97.0,
,Houston,TX,Energy & Utilities,486,91.0,100.0,
,New York City,NY,Media & Telecommunications,554,41.0,2.0,
,New York City,NY,Media & Telecommunications,554,41.0,3.0,
,New York City,NY,Media & Telecommunications,554,41.0,12.0,
,New York City,NY,Media & Telecommunications,554,41.0,15.0,
,New York City,NY,Media & Telecommunications,554,41.0,21.0,
,New York City,NY,Media & Telecommunications,554,41.0,22.0,
,New York City,NY,Media & Telecommunications,554,41.0,26.0,
,New York City,NY,Media & Telecommunications,554,41.0,27.0,
,New York City,NY,Media & Telecommunications,554,41.0,28.0,
,New York City,NY,Media & Telecommunications,554,41.0,36.0,
,New York City,NY,Media & Telecommunications,554,41.0,38.0,
,New York City,NY,Media & Telecommunications,554,41.0,41.0,
,New York City,NY,Media & Telecommunications,554,41.0,43.0,
,New York City,NY,Media & Telecommunications,554,41.0,46.0,
,New York City,NY,Media & Telecommunications,554,41.0,47.0,
,New York City,NY,Media & Telecommunications,554,41.0,51.0,
,New York City,NY,Media & Telecommunications,554,41.0,52.0,
,New York City,NY,Media & Telecommunications,554,41.0,58.0,
,New York City,NY,Media & Telecommunications,554,41.0,63.0,
,New York City,NY,Media & Telecommunications,554,41.0,64.0,
,New York City,NY,Media & Telecommunications,554,41.0,66.0,
,New York City,NY,Media & Telecommunications,554,41.0,68.0,
,New York City,NY,Media & Telecommunications,554,41.0,70.0,
,New York City,NY,Media & Telecommunications,554,41.0,72.0,
,New York City,NY,Media & Telecommunications,554,41.0,73.0,
,New York City,NY,Media & Telecommunications,554,41.0,75.0,
,New York City,NY,Media & Telecommunications,554,41.0,78.0,
,New York City,NY,Media & Telecommunications,554,41.0,82.0,
,New York City,NY,Media & Telecommunications,554,41.0,83.0,
,New York City,NY,Media & Telecommunications,554,41.0,85.0,
,New York City,NY,Media & Telecommunications,554,41.0,86.0,
,New York City,NY,Media & Telecommunications,554,41.0,89.0,
,New York City,NY,Media & Telecommunications,554,41.0,90.0,
,New York City,NY,Media & Telecommunications,554,41.0,94.0,
,New York City,NY,Media & Telecommunications,554,41.0,95.0,
,New York City,NY,Media & Telecommunications,554,41.0,97.0,
,New York City,NY,Media & Telecommunications,554,41.0,100.0,
,New York City,NY,Media & Telecommunications,554,91.0,2.0,
,New York City,NY,Media & Telecommunications,554,91.0,3.0,
,New York City,NY,Media & Telecommunications,554,91.0,12.0,
,New York City,NY,Media & Telecommunications,554,91.0,15.0,
,New York City,NY,Media & Telecommunications,554,91.0,21.0,
,New York City,NY,Media & Telecommunications,554,91.0,22.0,
,New York City,NY,Media & Telecommunications,554,91.0,26.0,
,New York City,NY,Media & Telecommunications,554,91.0,27.0,
,New York City,NY,Media & Telecommunications,554,91.0,28.0,
,New York City,NY,Media & Telecommunications,554,91.0,36.0,
,New York City,NY,Media & Telecommunications,554,91.0,38.0,
,New York City,NY,Media & Telecommunications,554,91.0,41.0,
,New York City,NY,Media & Telecommunications,554,91.0,43.0,
,New York City,NY,Media & Telecommunications,554,91.0,46.0,
,New York City,NY,Media & Telecommunications,554,91.0,47.0,
,New York City,NY,Media & Telecommunications,554,91.0,51.0,
,New York City,NY,Media & Telecommunications,554,91.0,52.0,
,New York City,NY,Media & Telecommunications,554,91.0,58.0,
,New York City,NY,Media & Telecommunications,554,91.0,63.0,
,New York City,NY,Media & Telecommunications,554,91.0,64.0,
,New York City,NY,Media & Telecommunications,554,91.0,66.0,
,New York City,NY,Media & Telecommunications,554,91.0,68.0,
,New York City,NY,Media & Telecommunications,554,91.0,70.0,
,New York City,NY,Media & Telecommunications,554,91.0,72.0,
,New York City,NY,Media & Telecommunications,554,91.0,73.0,
,New York City,NY,Media & Telecommunications,554,91.0,75.0,
,New York City,NY,Media & Telecommunications,554,91.0,78.0,
,New York City,NY,Media & Telecommunications,554,91.0,82.0,
,New York City,NY,Media & Telecommunications,554,91.0,83.0,
,New York City,NY,Media & Telecommunications,554,91.0,85.0,
,New York City,NY,Media & Telecommunications,554,91.0,86.0,
,New York City,NY,Media & Telecommunications,554,91.0,89.0,
,New York City,NY,Media & Telecommunications,554,91.0,90.0,
,New York City,NY,Media & Telecommunications,554,91.0,94.0,
,New York City,NY,Media & Telecommunications,554,91.0,95.0,
,New York City,NY,Media & Telecommunications,554,91.0,97.0,
,New York City,NY,Media & Telecommunications,554,91.0,100.0,
,Chandler,AZ,Technology,592,41.0,2.0,
,Chandler,AZ,Technology,592,41.0,3.0,
,Chandler,AZ,Technology,592,41.0,12.0,
,Chandler,AZ,Technology,592,41.0,15.0,
,Chandler,AZ,Technology,592,41.0,21.0,
,Chandler,AZ,Technology,592,41.0,22.0,
,Chandler,AZ,Technology,592,41.0,26.0,
,Chandler,AZ,Technology,592,41.0,27.0,
,Chandler,AZ,Technology,592,41.0,28.0,
,Chandler,AZ,Technology,592,41.0,36.0,
,Chandler,AZ,Technology,592,41.0,38.0,
,Chandler,AZ,Technology,592,41.0,41.0,
,Chandler,AZ,Technology,592,41.0,43.0,
,Chandler,AZ,Technology,592,41.0,46.0,
,Chandler,AZ,Technology,592,41.0,47.0,
,Chandler,AZ,Technology,592,41.0,51.0,
,Chandler,AZ,Technology,592,41.0,52.0,
,Chandler,AZ,Technology,592,41.0,58.0,
,Chandler,AZ,Technology,592,41.0,63.0,
,Chandler,AZ,Technology,592,41.0,64.0,
,Chandler,AZ,Technology,592,41.0,66.0,
,Chandler,AZ,Technology,592,41.0,68.0,
,Chandler,AZ,Technology,592,41.0,70.0,
,Chandler,AZ,Technology,592,41.0,72.0,
,Chandler,AZ,Technology,592,41.0,73.0,
,Chandler,AZ,Technology,592,41.0,75.0,
,Chandler,AZ,Technology,592,41.0,78.0,
,Chandler,AZ,Technology,592,41.0,82.0,
,Chandler,AZ,Technology,592,41.0,83.0,
,Chandler,AZ,Technology,592,41.0,85.0,
,Chandler,AZ,Technology,592,41.0,86.0,
,Chandler,AZ,Technology,592,41.0,89.0,
,Chandler,AZ,Technology,592,41.0,90.0,
,Chandler,AZ,Technology,592,41.0,94.0,
,Chandler,AZ,Technology,592,41.0,95.0,
,Chandler,AZ,Technology,592,41.0,97.0,
,Chandler,AZ,Technology,592,41.0,100.0,
,Chandler,AZ,Technology,592,91.0,2.0,
,Chandler,AZ,Technology,592,91.0,3.0,
,Chandler,AZ,Technology,592,91.0,12.0,
,Chandler,AZ,Technology,592,91.0,15.0,
,Chandler,AZ,Technology,592,91.0,21.0,
,Chandler,AZ,Technology,592,91.0,22.0,
,Chandler,AZ,Technology,592,91.0,26.0,
,Chandler,AZ,Technology,592,91.0,27.0,
,Chandler,AZ,Technology,592,91.0,28.0,
,Chandler,AZ,Technology,592,91.0,36.0,
,Chandler,AZ,Technology,592,91.0,38.0,
,Chandler,AZ,Technology,592,91.0,41.0,
,Chandler,AZ,Technology,592,91.0,43.0,
,Chandler,AZ,Technology,592,91.0,46.0,
,Chandler,AZ,Technology,592,91.0,47.0,
,Chandler,AZ,Technology,592,91.0,51.0,
,Chandler,AZ,Technology,592,91.0,52.0,
,Chandler,AZ,Technology,592,91.0,58.0,
,Chandler,AZ,Technology,592,91.0,63.0,
,Chandler,AZ,Technology,592,91.0,64.0,
,Chandler,AZ,Technology,592,91.0,66.0,
,Chandler,AZ,Technology,592,91.0,68.0,
,Chandler,AZ,Technology,592,91.0,70.0,
,Chandler,AZ,Technology,592,91.0,72.0,
,Chandler,AZ,Technology,592,91.0,73.0,
,Chandler,AZ,Technology,592,91.0,75.0,
,Chandler,AZ,Technology,592,91.0,78.0,
,Chandler,AZ,Technology,592,91.0,82.0,
,Chandler,AZ,Technology,592,91.0,83.0,
,Chandler,AZ,Technology,592,91.0,85.0,
,Chandler,AZ,Technology,592,91.0,86.0,
,Chandler,AZ,Technology,592,91.0,89.0,
,Chandler,AZ,Technology,592,91.0,90.0,
,Chandler,AZ,Technology,592,91.0,94.0,
,Chandler,AZ,Technology,592,91.0,95.0,
,Chandler,AZ,Technology,592,91.0,97.0,
,Chandler,AZ,Technology,592,91.0,100.0,
lear,Southfield,MI,Automotive & Components,74,,,
moodys,New York City,NY,Financial,75,,,
pfizer,New York City,NY,"Health Care, Life Sciences & Pharmaceuticals",76,,,
prologis,San Francisco,CA,Real Estate & Housing,77,,,
baker hughes,Houston,TX,Energy & Utilities,78,,,
microchip,Chandler,AZ,Technology,79,,,
metlife,New York City,NY,Financial,80,36.0,,
american express,New York City,NY,Financial,81,4.0,39.0,
owens corning,Toledo,OH,Materials & Chemicals,82,,77.0,
boston properties,Boston,MA,Real Estate & Housing,83,,,
microsoft,Redmond,WA,Software,84,,,
lumentum,San Jose,CA,Technology,85,,,
public service enterprise group,Newark,NJ,Energy & Utilities,86,,74.0,
xerox,Norwalk,CT,Technology,87,,,
host hotels resorts,Bethesda,MD,Real Estate & Housing,88,,,
cognizant,Teaneck,NJ,Professional Services,89,,,
gap,San Francisco,CA,Retail & Consumer Goods,90,,,
comerica,Dallas,TX,Financial,91,,80.0,
morningstar,Chicago,IL,Financial,92,,,
sba,Boca Raton,FL,Media & Telecommunications,93,,,
equinix,Redwood City,CA,Media & Telecommunications,94,,,
church dwight,Ewing Township,NJ,Retail & Consumer Goods,95,,,
emerson,St. Louis,MO,Capital Goods,96,,,
mt bank,Buffalo,NY,Financial,97,,,
albemarle,Charlotte,NC,Materials & Chemicals,98,,,
watts,North Andover,MA,Capital Goods,99,,,
itron,Liberty Lake,WA,Professional Services,100,,,
fmc,Philadelphia,PA,Materials & Chemicals,101,,,
agco,Duluth,GA,Capital Goods,102,,,
deere,Moline,IL,Capital Goods,103,,,
prudential,Newark,NJ,Financial,104,,,
avnet,Phoenix,AZ,Technology,105,,,
comfort systems usa,Houston,TX,Capital Goods,106,,,
elevance health,Indianapolis,IN,Financial,107,58.0,24.0,ELEVANCE HEALTH
jabil,St. Petersburg,FL,Technology,108,,,
regency centers,Jacksonville,FL,Real Estate & Housing,109,,,
ppg,Pittsburgh,PA,Materials & Chemicals,110,,,
zoetis,Parsippany,NJ,"Health Care, Life Sciences & Pharmaceuticals",111,,,
digital realty,Austin,TX,Real Estate & Housing,112,,,
koppers,Pittsburgh,PA,Materials & Chemicals,113,,,
brixmor property group,New York City,NY,Real Estate & Housing,114,,,
intel,Santa Clara,CA,Technology,115,,,
avalonbay communities,Arlington,VA,Real Estate & Housing,116,,,
mondelēz,Chicago,IL,Retail & Consumer Goods,117,,,
hasbro,Pawtucket,RI,Retail & Consumer Goods,118,,,"HASBRO, INC."
waste management,Houston,TX,Energy & Utilities,119,,98.0,
exl,New York City,NY,Professional Services,120,,,
united rentals,Stamford,CT,Professional Services,121,,,
bread financial,Columbus,OH,Financial,122,,,
pvh,New York City,NY,Retail & Consumer Goods,123,,,
sensata technologies,Attleboro,MA,Technology,124,,,
sherwinwilliams,Cleveland,OH,Materials & Chemicals,125,,,
jm smucker,Orrville,OH,Retail & Consumer Goods,126,,,
american water,Camden,NJ,Energy & Utilities,127,,,
labcorp,Burlington,NC,"Health Care, Life Sciences & Pharmaceuticals",128,,,
ansys,Canonsburg,PA,Software,129,,,
federal realty investment trust,North Bethesda,MD,Real Estate & Housing,130,,,
broadcom,San Jose,CA,Technology,131,,,
texas instruments,Dallas,TX,Technology,132,,96.0,
interface,Atlanta,GA,Materials & Chemicals,133,,,
salesforce,San Francisco,CA,Software,134,70.0,,
kraft heinz,Chicago,IL,Retail & Consumer Goods,135,,,
dana,Maumee,OH,Automotive & Components,136,,,
ibm,Armonk,NY,Technology,137,,,
kimco realty,Jericho,NY,Real Estate & Housing,138,,,
armstrong world industries,Lancaster,PA,Capital Goods,139,,,
gartner,Stamford,CT,Professional Services,140,,,
sempra,San Diego,CA,Energy & Utilities,141,,,
welltower,Toledo,OH,Real Estate & Housing,142,,,
best buy,Richfield,MN,Retail & Consumer Goods,143,,,
micron,Boise,ID,Technology,144,,,
enphase,Fremont,CA,Energy & Utilities,145,,,
littelfuse,Chicago,IL,Technology,146,,,
stanley black decker,New Britain,CT,Capital Goods,147,,,
whirlpool,Benton Harbor,MI,Retail & Consumer Goods,148,,,
hess,New York City,NY,Energy & Utilities,149,,,
wolfspeed,Durham,NC,Technology,150,,,
hormel foods,Austin,MN,Retail & Consumer Goods,151,,,
dropbox,San Francisco,CA,Technology,152,,,
alnylam,Cambridge,MA,"Health Care, Life Sciences & Pharmaceuticals",153,,,
advansix,Parsippany,NJ,Materials & Chemicals,154,,,
dayforce,Minneapolis,MN,Software,155,,65.0,
leslies,Phoenix,AZ,Retail & Consumer Goods,156,,,
iron mountain,Boston,MA,Software,157,,,
deckers outdoor,Goleta,CA,Retail & Consumer Goods,158,,,
wesco,Pittsburgh,PA,Capital Goods,159,,,
walt disney,Burbank,CA,Media & Telecommunications,160,,,
healthpeak properties,Denver,CO,Real Estate & Housing,161,,,
nov,Houston,TX,Energy & Utilities,162,,,
talos energy,Houston,TX,Energy & Utilities,163,,,
hudson pacific properties,Los Angeles,CA,Real Estate & Housing,164,,,
air products and chemicals,Allentown,PA,Materials & Chemicals,165,,,
essential utilities,Bryn Mawr,PA,Energy & Utilities,166,,,
workday,Pleasanton,CA,Technology,167,,,
molson coors beverage,Chicago,IL,Retail & Consumer Goods,168,,,
terex,Norwalk,CT,Capital Goods,169,,,
williamssonoma,San Francisco,CA,Retail & Consumer Goods,170,,,
ribbon,Plano,TX,Media & Telecommunications,171,,,
csx,Jacksonville,FL,Transport & Logistics,172,,,
equity residential,Chicago,IL,Real Estate & Housing,173,,,
marriott international,Bethesda,MD,"Hotels, Dining & Leisure",174,8.0,,
sealed air,Charlotte,NC,Materials & Chemicals,175,,,
mattel,El Segundo,CA,Retail & Consumer Goods,176,,,
servicenow,Santa Clara,CA,Software,177,68.0,16.0,
lpl financial,San Diego,CA,Financial,178,,,
invesco,Atlanta,GA,Financial,179,,,
dolby,San Francisco,CA,Technology,180,,,
mettlertoledo,Columbus,OH,Capital Goods,181,,,
hilton,McLean,VA,"Hotels, Dining & Leisure",182,,,
howmet aerospace,Pittsburgh,PA,Capital Goods,183,,,
macerich,Santa Monica,CA,Real Estate & Housing,184,,,
cirrus logic,Austin,TX,Technology,185,,91.0,
qurate retail group,West Chester,PA,Retail & Consumer Goods,186,,,
bath body works,Columbus,OH,Retail & Consumer Goods,187,,,
empire state realty trust,New York City,NY,Real Estate & Housing,188,,,
snap,Santa Monica,CA,Media & Telecommunications,189,,,
mueller water products,Atlanta,GA,Capital Goods,190,,,
onsemi,Phoenix,AZ,Technology,192,,,
ball,Westminster,CO,Materials & Chemicals,193,,,
helen of troy,El Paso,TX,Retail & Consumer Goods,194,,,
verizon communications,New York City,NY,Media & Telecommunications,195,,17.0,
carters,Atlanta,GA,Retail & Consumer Goods,196,,,
california resources,Long Beach,CA,Energy & Utilities,197,,,
the home depot,Atlanta,GA,Retail & Consumer Goods,198,,,
berry global,Evansville,IN,Materials & Chemicals,199,,,
sonoco products,Hartsville,SC,Materials & Chemicals,200,,,
principal financial group,Des Moines,IA,Financial,201,,11.0,
upwork,Santa Clara,CA,Professional Services,202,,,
amphenol,Wallingford,CT,Technology,203,,,
amgen,Thousand Oaks,CA,"Health Care, Life Sciences & Pharmaceuticals",204,,,
huntington bancshares,Columbus,OH,Financial,205,,18.0,
robert half international,Menlo Park,CA,Professional Services,206,,,
caleres,St. Louis,MO,Retail & Consumer Goods,207,,,
superior industries,Southfield,MI,Automotive & Components,208,,,
enersys,Reading,PA,Energy & Utilities,209,,,
weatherford,Houston,TX,Energy & Utilities,210,,,
silicon labs,Austin,TX,Technology,211,,,
halliburton,Houston,TX,Energy & Utilities,212,,,
macys,New York City,NY,Retail & Consumer Goods,213,,,
carrier,Palm Beach Gardens,FL,Capital Goods,214,,,
jb hunt,Lowell,AZ,Transport & Logistics,215,,,
harleydavidson,Milwaukee,WI,Automotive & Components,216,,,
mplx,Findlay,OH,Energy & Utilities,217,,,
post,St. Louis,MO,Retail & Consumer Goods,218,,,
dicks sporting goods,Coraopolis,PA,Retail & Consumer Goods,219,,,
jones lang lasalle,Chicago,IL,Real Estate & Housing,220,,99.0,
insulet,Acton,MA,"Health Care, Life Sciences & Pharmaceuticals",221,,,
icf,Fairfax,VA,Professional Services,222,,,
illinois tool works,Glenview,IL,Capital Goods,223,,,
kroger,Cincinnati,OH,Retail & Consumer Goods,224,,,
western digital,San Jose,CA,Technology,225,,,
voya financial,New York City,NY,Financial,226,,,
kadant,Westford,MA,Capital Goods,227,,,
manitowoc,Milwaukee,WI,Capital Goods,228,,,
omnicom group,New York City,NY,Professional Services,229,,,
ormat technologies,Reno,NV,Energy & Utilities,230,,,
carlisle companies,Scottsdale,AZ,Materials & Chemicals,231,,,
belden,St. Louis,MO,Capital Goods,232,,,
pnc financial services,Pittsburgh,PA,Financial,233,,,
pitney bowes,Stamford,CT,Technology,234,,,
crown holdings,Philadelphia,PA,Materials & Chemicals,235,,,
united natural foods,Providence,RI,Retail & Consumer Goods,236,,,
kosmos energy,Dallas,TX,Energy & Utilities,237,,,
waters,Milford,MA,"Health Care, Life Sciences & Pharmaceuticals",238,,,
jbg smith,Bethesda,MD,Real Estate & Housing,239,,,
hubspot,Cambridge,MA,Software,240,,,
vontier,Raleigh,NC,Capital Goods,241,,,
bank of new york mellon,New York City,NY,Financial,242,,,
greif,Delaware,OH,Materials & Chemicals,243,,,
oneok,Tulsa,OK,Energy & Utilities,244,,,
kennametal,Pittsburgh,PA,Capital Goods,245,,,
fortive,Everett,WA,Capital Goods,246,,,
sunstone hotel investors,Irvine,CA,Real Estate & Housing,247,,,
pebblebrook hotel trust,Bethesda,MD,"Hotels, Dining & Leisure",248,,,
vital energy,Tulsa,OK,Energy & Utilities,249,,,
foot locker,New York City,NY,Retail & Consumer Goods,250,,,
usana health sciences,West Valley City,UT,Retail & Consumer Goods,251,,,
union pacific,Omaha,NE,Transport & Logistics,252,,4.0,
spire,St. Louis,MO,Energy & Utilities,253,,,
ipg photonics,New York City,NY,Capital Goods,254,,,
caesars entertainment,Reno,NV,"Hotels, Dining & Leisure",255,,,CAESARS ENTERTAINMENT
masco,Livonia,MI,Capital Goods,256,,,
charles river laboratories,Wilmington,MA,"Health Care, Life Sciences & Pharmaceuticals",257,,,
ge healthcare technologies,Chicago,IL,"Health Care, Life Sciences & Pharmaceuticals",258,,,
fortinet,Sunnyvale,CA,Technology,259,,,
murphy oil,Houston,TX,Energy & Utilities,260,,,
zillow,Seattle,WA,Real Estate & Housing,261,,,
ryman hospitality properties,Nashville,TN,Real Estate & Housing,262,,,
park hotels resorts,Tysons,VA,Real Estate & Housing,263,,,
ventas,Chicago,IL,Real Estate & Housing,264,,,
realty income,San Diego,CA,Real Estate & Housing,265,,,
coty,New York City,NY,Retail & Consumer Goods,266,,,
conagra brands,Chicago,IL,Retail & Consumer Goods,267,,,
yum brands,Louisville,KY,"Hotels, Dining & Leisure",268,,,
burlington,Burlington,NJ,Retail & Consumer Goods,269,,,
synopsys,Mountain View,CA,Software,270,,,
edwards lifesciences,Irvine,CA,"Health Care, Life Sciences & Pharmaceuticals",271,,54.0,
lumen,Monroe,LA,Media & Telecommunications,272,,,
kimball electronics,Jasper,IN,Capital Goods,273,,,
lincoln financial,Radnor,PA,Financial,274,,,
ziff davis,New York City,NY,Media & Telecommunications,275,,,
vornado realty trust,New York City,NY,Real Estate & Housing,276,,,
aaon,Tulsa,OK,Capital Goods,277,,,
tractor supply,Brentwood,TN,Retail & Consumer Goods,278,,,
levi strauss,San Francisco,CA,Retail & Consumer Goods,279,,,
abm industries,New York City,NY,Professional Services,280,,,
assurant,New York City,NY,Financial,281,,69.0,
the greenbrier companies,Lake Oswego,OR,Transport & Logistics,282,,,
avis budget group,Parsippany,NJ,Professional Services,283,,,
alexandria real estate equities,Pasadena,CA,Real Estate & Housing,284,,,
keycorp,Cleveland,OH,Financial,285,,76.0,
cooperstandard holdings,Northville,MI,Automotive & Components,286,,,
chart industries,Ball Ground,GA,Capital Goods,288,,,
williams companies,Tulsa,OK,Energy & Utilities,289,,,
advanced drainage systems,Hilliard,OH,Materials & Chemicals,290,,,
honeywell,Charlotte,NC,Capital Goods,291,,,
franklin electric,Fort Wayne,IN,Capital Goods,292,,,
commscope,Hickory,NC,Technology,293,,,
oshkosh,Oshkosh,WI,Automotive & Components,294,,,
monolithic power systems,Kirkland,WA,Technology,295,,,
fedex,Memphis,TN,Transport & Logistics,296,,,
lincoln electric,Cleveland,OH,Capital Goods,297,,,
arista networks,Santa Clara,CA,Media & Telecommunications,298,,,
etsy,Brooklyn,NY,Retail & Consumer Goods,299,,,
columbus mckinnon,Buffalo,NY,Capital Goods,300,,,
oil states international,Houston,TX,Energy & Utilities,301,,,
tyson foods,Springdale,AR,Retail & Consumer Goods,302,,,
resmed,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",303,,,
american axle manufacturing holdings,Detroit,MI,Automotive & Components,304,,,
quidelortho,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",305,,,
winnebago industries,Eden Prairie,MN,Automotive & Components,306,,,
planet fitness,Hampton,NH,"Hotels, Dining & Leisure",307,,,
steelcase,Grand Rapids,MI,Retail & Consumer Goods,308,,,STEELCASE
paramount group,New York City,NY,Real Estate & Housing,309,,,
lyondellbasell,Houston,TX,Materials & Chemicals,310,,,
fox factory,Duluth,GA,Automotive & Components,311,,,
ipg,New York City,NY,Professional Services,312,,,
hubbell,Shelton,CT,Capital Goods,313,,,
kelly services,Troy,MI,Professional Services,314,,,
intuitive,Sunnyvale,CA,"Health Care, Life Sciences & Pharmaceuticals",315,,,
capital one,McLean,VA,Financial,316,,,CAPITAL ONE
quanta,Houston,TX,Energy & Utilities,317,,,
hologic,Marlborough,MA,"Health Care, Life Sciences & Pharmaceuticals",318,,,
cabot,Boston,MA,Materials & Chemicals,319,,,
petco,San Diego,CA,Retail & Consumer Goods,320,,,
polaris,Medina,MN,Automotive & Components,321,,,
granite construction,Watsonville,CA,Capital Goods,322,,,
intuit,Mountain View,CA,Software,323,23.0,,
bank of america,Charlotte,NC,Financial,324,33.0,,
exact sciences,Madison,WI,"Health Care, Life Sciences & Pharmaceuticals",325,,,
textron,Providence,RI,Capital Goods,326,,,
newmont,Denver,CO,Materials & Chemicals,327,,,
flowserve,Irving,TX,Capital Goods,328,,,
gen digital,Tempe,AZ,Media & Telecommunications,329,,,
diamondrock hospitality,Bethesda,MD,Real Estate & Housing,330,,,
eversource energy,Springfield,MA,Energy & Utilities,331,,7.0,
varex imaging,Salt Lake City,UT,"Health Care, Life Sciences & Pharmaceuticals",332,,,
regal rexnord,Beloit,WI,Capital Goods,333,,,
xenia hotels resorts,Orlando,FL,Real Estate & Housing,334,,,
balchem,Montvale,NJ,Materials & Chemicals,335,,,
regions financial,Birmingham,AL,Financial,336,,,
discover,Riverwoods,IL,Financial,337,,,
general electric,Boston,MA,Capital Goods,338,,,
tpi composites,Scottsdale,AZ,Capital Goods,339,,,
first solar,Tempe,AZ,Energy & Utilities,340,,,
repligen,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",341,,,
elanco,Greenfield,IN,"Health Care, Life Sciences & Pharmaceuticals",342,,,
iridium,McLean,VA,Media & Telecommunications,343,,,
essex,San Mateo,CA,Real Estate & Housing,344,,,
the container store,Coppell,TX,Retail & Consumer Goods,345,,,
wabtec,Pittsburgh,PA,Transport & Logistics,346,,,
sun communities,Southfield,MI,Real Estate & Housing,347,,,
acuity brands,Atlanta,GA,Capital Goods,348,,,
transunion,Chicago,IL,Professional Services,349,,,
spx,Charlotte,NC,Capital Goods,350,,,
ch robinson,Eden Prairie,MN,Transport & Logistics,351,,,
electronic arts,Redwood City,CA,Software,352,,,
visteon,Van Buren Township,MI,Automotive & Components,353,,,
wabash,Lafayette,IN,Capital Goods,354,,,
sysco,Houston,TX,Retail & Consumer Goods,355,,,
pactiv evergreen,Lake Forest,IL,Materials & Chemicals,356,,,
jpmorgan chase,New York City,NY,Financial,357,,37.0,
aramark,Philadelphia,PA,"Hotels, Dining & Leisure",358,,,ARAMARK
public storage,Glendale,CA,Real Estate & Housing,359,,,
herc holdings,Bonita Springs,FL,Capital Goods,360,,,
roper technologies,Sarasota,FL,Technology,361,,,
helix energy solutions,Houston,TX,Energy & Utilities,362,,,
ryam,Jacksonville,FL,"Health Care, Life Sciences & Pharmaceuticals",363,,,
performance food,Richmond,VA,Retail & Consumer Goods,364,,,
copt defense properties,Columbia,MD,Real Estate & Housing,365,,,
godaddy,Tempe,AZ,Technology,366,,,
novanta,Bedford,MA,"Health Care, Life Sciences & Pharmaceuticals",367,,,
the andersons,Maumee,OH,Materials & Chemicals,368,,,
spirit aerosystems,Wichita,KS,Capital Goods,369,,,
viasat,Carlsbad,CA,Media & Telecommunications,370,,,
skywork solutions,Irvine,CA,Technology,371,,,
cmc,Irving,TX,Materials & Chemicals,372,,,
element solutions,Fort Lauderdale,FL,Materials & Chemicals,373,,,
factset,Norwalk,CT,Technology,374,,,
vertex pharmaceuticals,Boston,MA,"Health Care, Life Sciences & Pharmaceuticals",375,76.0,,VERTEX PHARMACEUTICALS
lilly,Indianapolis,IN,"Health Care, Life Sciences & Pharmaceuticals",376,,,
msa safety,Cranberry Township,PA,Capital Goods,377,,,
att,Dallas,TX,Media & Telecommunications,378,,,
arcbest,Fort Smith,AZ,Transport & Logistics,379,,,
phibro animal health,Teaneck,NJ,"Health Care, Life Sciences & Pharmaceuticals",380,,,
marvell technology,Wilmington,DE,Technology,381,,,
medical properties trust,Birmingham,AL,Real Estate & Housing,382,,,
oracle,Austin,TX,Technology,383,,,
cohu,Poway,CA,Technology,384,,,
blackbaud,Charleston,SC,Software,385,,,
corning,Corning,NY,Technology,386,,,
equity lifestyle properties,Chicago,IL,Real Estate & Housing,387,,,
california water service group,San Jose,CA,Energy & Utilities,388,,,
sprouts farmers market,Phoenix,AZ,Retail & Consumer Goods,389,,,
portland general electric,Portland,OR,Energy & Utilities,390,,,
nclh norwegian cruise line holdings,Miami,FL,Transport & Logistics,391,,,
synchrony financial,Stamford,CT,Financial,392,,,
centerpoint energy,Houston,TX,Energy & Utilities,393,,,
dun bradstreet,Jacksonville,FL,Financial,394,,,
udr,Highlands Ranch,CO,Real Estate & Housing,395,,,
