RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
124,Koppers,Pittsburgh,Pennsylvania,Materials & Chemicals,13,79.76,87.92,78,73.43
125,CommScope Holding Company,Hickory,North Carolina,Technology Hardware,27,79.72,91.19,74.58,73.48
126,Humana,Louisville,Kentucky,Financial,9,79.72,83.75,82.32,73.16
127,Itron,Liberty Lake,Washington,Professional Services,5,79.66,87.19,75.01,76.87
128,Deere,Moline,Illinois,Capital Goods,11,79.63,85.92,87.16,65.91
129,Darling Ingredients,Irving,Texas,Consumer Goods,13,79.63,71.89,77.1,89.98
130,Ralph Lauren,New York,New York,Consumer Goods,14,79.59,90.29,67.75,80.83
131,Jacobs,Dallas,Texas,Professional Services,6,79.57,93.6,66.65,78.55
132,Armstrong World Industries,Lancaster,Pennsylvania,Capital Goods,12,79.53,75.75,80.57,82.34
133,Fifth Third Bank,Cincinnati,Ohio,Financial,10,79.43,91.33,84.23,62.83
134,Fluor Corporation,Irving,Texas,Capital Goods,13,79.42,84.84,71.66,81.84
135,Molson Coors Brewing,Chicago,Illinois,Consumer Goods,15,79.38,78.83,76.58,82.8
136,Deckers Outdoor,Goleta,California,Consumer Goods,16,79.27,87.17,70.47,80.25
137,Cintas,Cincinnati,Ohio,Consumer Goods,17,79.24,74.52,78.74,84.55
138,Workday,Pleasanton,California,Software & Telecommunications,14,79.19,86.86,74.16,76.64
139,Essex Property Trust,San Mateo,California,Real Estate & Housing,13,79.18,85.02,77.53,75.07
140,MetLife,New York,New York,Financial,11,79.17,79.52,75.07,83.01
141,ServiceNow,Santa Clara,California,Software & Telecommunications,15,79.11,76.25,78.74,82.42
142,Zillow,Seattle,Washington,Real Estate & Housing,14,79.07,73.25,78.04,85.99
143,Atkore,Harvey,Illinois,Capital Goods,14,79.07,80.07,72.65,84.55
144,C.H. Robinson,Eden Prairie,Minnesota,Transport & Logistics,1,79.03,72.82,87.01,77.31
145,Dolby,San Francisco,California,Software & Telecommunications,16,79.02,73.7,81.85,81.6
146,NetApp,San Jose,California,Software & Telecommunications,17,79,85.07,65.97,86.06
147,Silicon Labs,Austin,Texas,Technology Hardware,28,79,88.65,70.92,77.51
148,Simpson Manufacturing Company,Pleasanton,California,Capital Goods,15,78.97,85.38,80.71,70.9
149,Lowe's Companies,Mooresville,North Carolina,Retail,3,78.94,86.95,72.54,77.41
150,Sonoco Products,Hartsville,South Carolina,Materials & Chemicals,14,78.92,84.04,69.14,83.66
151,Caleres,Saint Louis,Missouri,Consumer Goods,18,78.86,87.58,77.05,72.03
152,USANA Health Sciences,West Valley City,Utah,Consumer Goods,19,78.84,72.79,81.22,82.58
153,Ball,Westminster,Colorado,Materials & Chemicals,15,78.83,93.71,81.47,61.4
154,Eversource Energy,Springfield,Massachusetts,Energy & Utilities,5,78.78,96.11,70.57,69.77
155,Elevance Health,Indianapolis,Indiana,Financial,12,78.66,87.32,78.05,70.69
156,Coronado Global Resources,Beckley,West Virginia,Materials & Chemicals,16,78.6,75.96,77.52,82.39
157,Caterpillar,Deerfield,Illinois,Capital Goods,16,78.56,84.88,68.99,81.9
158,SPX,Charlotte,North Carolina,Capital Goods,17,78.56,85.37,68.35,82.03
*,Keurig Dr Pepper,Burlington,Massachusetts,Consumer Goods,*,78.55,85.22,73.62,76.9
159,State Street,Boston,Massachusetts,Financial,13,78.51,68.09,78.28,89.23
160,Hubbell,Shelton,Connecticut,Capital Goods,18,78.48,87.03,64.32,84.17
161,Mettler-Toledo International,Columbus,Ohio,Technology Hardware,29,78.43,78.91,69.92,86.53
162,ANSYS,Canonsburg,Pennsylvania,Software & Telecommunications,18,78.41,75.77,77.05,82.48
163,SITE Centers,Beachwood,Ohio,Real Estate & Housing,15,78.41,81.69,67.88,85.73
164,Macerich,Santa Monica,California,Real Estate & Housing,16,78.39,89.4,76.61,69.24
165,Prudential,Newark,New Jersey,Financial,14,78.27,74.29,74.81,85.8
166,The Home Depot,Atlanta,Georgia,Retail,4,78.27,79.17,75.96,79.74
167,IDEXX Laboratories,Westbrook,Maine,Health Care & Life Sciences,17,78.19,75.32,82.17,77.15
168,Littelfuse,Chicago,Illinois,Technology Hardware,30,78.15,84.66,69.53,80.35
169,Franklin Electric,Fort Wayne,Indiana,Technology Hardware,31,78.11,84.99,71.51,77.92
170,Synopsys,Mountain View,California,Software & Telecommunications,19,78.11,74.54,68.77,91.09
171,Kadant,Westford,Massachusetts,Technology Hardware,32,78.1,86.64,57.86,89.89
172,M&T Bank,Buffalo,New York,Financial,15,78.07,74.75,82.47,77.06
173,AGCO,Duluth,Georgia,Capital Goods,19,78.07,79.14,76.96,78.18
174,Intuitive,Sunnyvale,California,capital Goods,18,78.06,72.27,79.67,82.3
175,ONEOK,Tulsa,Oklahoma,Energy & Utilities,6,78.05,67.2,87.19,79.83
176,Lumen Technologies,Monroe,Louisiana,Software & Telecommunications,20,78.03,86.77,70.72,76.7
177,Sempra,San Diego,California,Energy & Utilities,7,77.95,68.03,87.65,78.25
178,Radius Recycling,Portland,Oregon,Energy & Utilities,8,77.95,86.38,67.9,79.65
179,Kilroy Realty,Los Angeles,California,Real Estate & Housing,17,77.92,93.87,67,73
180,Halliburton,Houston,Texas,Energy & Utilities,9,77.92,76.11,80.86,76.86
181,Equinix,Redwood City,California,Software & Telecommunications,21,77.89,78.73,78.83,76.2
182,BorgWarner,Auburn Hills,Michigan,Automotive & Components,2,77.89,80.11,75.88,77.75
183,Catalent,Somerset,New Jersey,Health Care & Life Sciences,19,77.83,92.01,78.91,62.66
184,J.B. Hunt Transport Services,Lowell,Arizona,Transport & Logistics,2,77.79,80.86,68.55,84.06
185,IPG Photonics,New York,New York,Technology Hardware,33,77.74,78.95,71.52,82.82
186,Regal Rexnord,Beloit,Wisconsin,Capital Goods,20,77.67,92.39,70.92,69.79
187,Otis,Farmington,Connecticut,Capital Goods,21,77.66,83.75,65.21,84.12
188,AdvanSix,Parsippany,New Jersey,Materials & Chemicals,17,77.63,70.03,72.29,90.65
189,Gates Industrial Corporation,Denver,Colorado,Capital Goods,22,77.6,79.46,72.13,81.3
190,Talos Energy,Houston,Texas,Energy & Utilities,10,77.57,72.58,87.12,73.09
191,Welltower,Toledo,Ohio,Real Estate & Housing,18,77.55,81.85,82.52,68.37
192,Best Buy,Richfield,Minnesota,Retail,5,77.38,91.95,77.39,62.91
193,Sun Communities,Southfield,Michigan,Real Estate & Housing,19,77.37,85.23,69.48,77.5
