Rank,Company,Industry,City,State,Zip,Website,Employees,Revenue (in millions),Valuation (in millions),Profits (in millions),Ticker,CEO
313,Dick's Sporting Goods,Specialty Retailers: Other,Coraopolis,Pennsylvania,15108,dickssportinggoods.com,"37,200","$12,984","$18,539","$1,047",DKS,Lauren R. Hobart
314,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),Lansing,Michigan,48917,auto-owners.com,"6,946","$12,938",,-$912,,Jamie Whisnant
315,Expedia Group,Internet Services and Retailing,Seattle,Washington,98119,expediagroup.com,"17,100","$12,839","$18,774",$797,EXPE,Ariane Gorin
316,J.B. Hunt Transport Services,"Trucking, Truck Leasing",Lowell,Arkansas,72745,jbhunt.com,"34,718","$12,830","$20,582",$728,JBHT,John N. Roberts Iii
317,M&T Bank,Commercial Banks,Buffalo,New York,14203,mtb.com,"21,980","$12,752","$24,233","$2,741",MTB,Rene F. Jones
318,DTE Energy,Utilities: Gas and Electric,Detroit,Michigan,48226,dteenergy.com,"9,950","$12,745","$23,205","$1,397",DTE,Gerardo Norcia
319,AES,Utilities: Gas and Electric,Arlington,Virginia,22203,aes.com,"9,600","$12,668","$12,745",$249,AES,Andres R. Gluski
320,Berry Global Group,"Packaging, Containers",Evansville,Indiana,47710,berryglobal.com,"44,000","$12,664","$7,010",$609,BERY,Kevin Kwilinski
321,Fifth Third Bancorp,Commercial Banks,Cincinnati,Ohio,45263,53.com,"18,724","$12,641","$25,435","$2,349",FITB,Timothy N. Spence
322,Air Products & Chemicals,Chemicals,Allentown,Pennsylvania,18106,airproducts.com,"21,850","$12,600","$53,857","$2,300",APD,Seifi Ghasemi
323,Corning,"Electronics, Electrical Equip.",Corning,New York,14831,corning.com,"49,800","$12,588","$28,192",$581,GLW,Wendell P. Weeks
324,EMCOR Group,Engineering & Construction,Norwalk,Connecticut,6851,emcorgroup.com,"38,300","$12,583","$16,482",$633,EME,Anthony J. Guzzi
325,Amphenol,Network and Other Communications Equipment,Wallingford,Connecticut,6492,amphenol.com,"95,000","$12,555","$69,193","$1,928",APH,Adam Norwitt
326,Westlake,Chemicals,Houston,Texas,77056,westlake.com,"15,520","$12,548","$19,637",$479,WLK,Albert Yuan Chao
327,DuPont,Chemicals,Wilmington,Delaware,19805,dupont.com,"24,000","$12,528","$32,016",$423,DD,Edward D. Breen
328,Liberty Media,Entertainment,Englewood,Colorado,80112,libertymedia.com,"6,486","$12,525","$9,700",$761,LSXMA,Gregory B. Maffei
329,S&P Global,Financial Data Services,New York,New York,10041,spglobal.com,"40,450","$12,497","$136,253","$2,626",SPGI,Douglas L. Peterson
330,Community Health Systems,Health Care: Medical Facilities,Franklin,Tennessee,37067,chs.net,"54,500","$12,490",$486,-$133,CYH,Tim L. Hingtgen
331,FirstEnergy,Utilities: Gas and Electric,Akron,Ohio,44308,firstenergycorp.com,"12,042","$12,450","$22,226","$1,102",FE,Brian X. Tierney
332,Unum Group,"Insurance: Life, Health (Stock)",Chattanooga,Tennessee,37402,unum.com,"10,683","$12,386","$10,299","$1,284",UNM,Richard P. Mckenney
333,Henry Schein,Wholesalers: Health Care,Melville,New York,11747,henryschein.com,"25,000","$12,339","$9,705",$416,HSIC,Stanley M. Bergman
334,Western Digital,"Computers, Office Equipment",San Jose,California,95119,westerndigital.com,"53,000","$12,318","$22,279","-$1,706",WDC,David V. Goeckeler
335,Analog Devices,Semiconductors and Other Electronic Components,Wilmington,Massachusetts,1887,analog.com,"26,000","$12,306","$98,086","$3,315",ADI,Vincent T. Roche
336,Conagra Brands,Food Consumer Products,Chicago,Illinois,60654,conagrabrands.com,"18,600","$12,277","$14,168",$684,CAG,Sean M. Connolly
337,Citizens Financial Group,Commercial Banks,Providence,Rhode Island,2903,citizensbank.com,"17,570","$12,187","$16,635","$1,608",CFG,Bruce W. Van Saun
338,Norfolk Southern,Railroads,Atlanta,Georgia,30308,norfolksouthern.com,"20,700","$12,156","$57,570","$1,827",NSC,Alan H. Shaw
339,Entergy,Utilities: Gas and Electric,New Orleans,Louisiana,70113,entergy.com,"12,177","$12,147","$22,536","$2,357",ETR,Andrew S. Marsh
340,W.R. Berkley,Insurance: Property and Casualty (Stock),Greenwich,Connecticut,6830,berkley.com,"8,329","$12,143","$22,689","$1,381",WRB,Robert Berkley
341,DaVita,Health Care: Medical Facilities,Denver,Colorado,80202,davita.com,"70,000","$12,140","$12,107",$692,DVA,Javier J. Rodriguez
342,Northern Trust,Commercial Banks,Chicago,Illinois,60603,northerntrust.com,"23,100","$12,117","$18,141","$1,107",NTRS,Michael G. O'Grady
343,Hormel Foods,Food Consumer Products,Austin,Minnesota,55912,hormelfoods.com,"20,000","$12,110","$19,109",$794,HRL,Jim(James) Snee
344,Crown Holdings,"Packaging, Containers",Tampa,Florida,33637,crowncork.com,"25,000","$12,010","$9,574",$450,CCK,Timothy J. Donahue
345,Avis Budget Group,"Automotive Retailing, Services",Parsippany,New Jersey,7054,avisbudgetgroup.com,"21,250","$12,008","$4,344","$1,632",CAR,
