Rank,Company,Industry,City,State,Zip,Website,Employees,Revenue (in millions),Valuation (in millions),Profits (in millions),Ticker,CEO
451,PPL,Utilities: Gas and Electric,Allentown,Pennsylvania,18101,pplweb.com,"6,629","$8,312","$20,306",$740,PPL,Vincent Sorgi
452,ON Semiconductor,Semiconductors and Other Electronic Components,Scottsdale,Arizona,85250,onsemi.com,"30,050","$8,253","$31,430","$2,184",ON,Hassane El-Khoury
453,ARKO,Specialty Retailers: Other,Richmond,Virginia,23227,arkocorp.com,"13,481","$8,239",$662,$34,ARKO,Arie Kotler
454,Par Pacific Holdings,Petroleum Refining,Houston,Texas,77024,parpacific.com,"1,814","$8,232","$2,199",$729,PARR,William C. Pate
455,APA,"Mining, Crude-Oil Production",Houston,Texas,77056,apacorp.com,"2,271","$8,192","$10,367","$2,855",APA,John J. Christmann Iv
456,Equinix,Real Estate,Redwood City,California,94065,equinix.com,"13,151","$8,188","$78,094",$969,EQIX,Charles Meyers
457,New York Community Bancorp,Commercial Banks,Hicksville,New York,11801,mynycb.com,"8,766","$8,178","$2,569",-$79,NYCB,Joseph M. Otting
458,Foot Locker,Specialty Retailers: Apparel,New York,New York,10001,footlocker.com/corp,"30,591","$8,168","$2,693",-$330,FL,Mary N. Dillon
459,Ingredion,Food Production,Westchester,Illinois,60154,ingredion.com,"11,600","$8,160","$7,666",$643,INGR,James (Jim) Zallie
460,Newell Brands,"Home Equipment, Furnishings",Atlanta,Georgia,30328,newellbrands.com,"24,600","$8,133","$3,334",-$388,NWL,Christopher H. Peterson
461,ABM Industries,Diversified Outsourcing Services,New York,New York,10006,abm.com,"123,000","$8,096","$2,824",$251,ABM,Scott B. Salmirs
462,Securian Financial Group,"Insurance: Life, Health (Stock)",St. Paul,Minnesota,55101,securian.com,"5,565","$8,067",,$227,,Christopher M. Hilger
463,Prologis,Real Estate,San Francisco,California,94111,prologis.com,"2,574","$8,024","$120,460","$3,059",PLD,Hamid R. Moghadam
464,Blackstone,Diversified Financials,New York,New York,10154,blackstone.com,"4,735","$8,023","$93,883","$1,391",BX,Stephen A. Schwarzman
465,Skechers U.S.A.,Apparel,Manhattan Beach,California,90266,skechers.com,"13,550","$8,000","$9,390",$546,SKX,Robert Greenberg
466,Masco,"Home Equipment, Furnishings",Livonia,Michigan,48152,masco.com,"18,000","$7,967","$17,335",$908,MAS,Keith J. Allman
467,Rush Enterprises,"Automotive Retailing, Services",New Braunfels,Texas,78130,rushenterprises.com,"8,449","$7,925","$4,164",$347,RUSHB,W.M. Rush
468,Franklin Resources,Securities,San Mateo,California,94403,franklinresources.com,"9,200","$7,849","$14,802",$883,BEN,Jenny Johnson
469,ODP,Specialty Retailers: Other,Boca Raton,Florida,33496,theodpcorp.com,"20,000","$7,831","$1,943",$139,ODP,Gerry P. Smith
470,American Financial Group,Insurance: Property and Casualty (Stock),Cincinnati,Ohio,45202,afginc.com,"8,500","$7,827","$11,418",$852,AFG,Carl H. Lindner Lll
471,Packaging Corp. of America,"Packaging, Containers",Lake Forest,Illinois,60045,packagingcorp.com,"14,900","$7,802","$17,034",$765,PKG,Mark W. Kowlzan
472,Vulcan Materials,"Building Materials, Glass",Birmingham,Alabama,35242,vulcanmaterials.com,"10,961","$7,782","$36,100",$933,VMC,Thomas Hill
473,Interactive Brokers Group,Securities,Greenwich,Connecticut,6830,interactivebrokers.com,"2,932","$7,776","$47,328",$600,IBKR,Milan Galik
474,Williams-Sonoma,Specialty Retailers: Other,San Francisco,California,94109,williams-sonomainc.com,"15,000","$7,751","$20,358",$950,WSM,Laura J. Alber
475,XPO,Transportation and Logistics,Greenwich,Connecticut,6831,xpo.com,"39,450","$7,744","$14,169",$189,XPO,Mario A. Harik
476,Weyerhaeuser,Forest and Paper Products,Seattle,Washington,98104,weyerhaeuser.com,"9,318","$7,674","$26,201",$839,WY,Devin W. Stockfish
477,Genworth Financial,"Insurance: Life, Health (Stock)",Richmond,Virginia,23230,genworth.com,"2,700","$7,488","$2,826",$76,GNW,Thomas J. Mcinerney
478,CMS Energy,Utilities: Gas and Electric,Jackson,Michigan,49201,cmsenergy.com,"8,356","$7,462","$18,019",$887,CMS,Garrick J. Rochow
479,Science Applications International,Information Technology Services,Reston,Virginia,20190,saic.com,"24,000","$7,444","$6,734",$477,SAIC,Toni Townes-Whitley
480,Jefferies Financial Group,Diversified Financials,New York,New York,10022,jefferies.com,"7,564","$7,441","$9,348",$278,JEF,Richard B. Handler
481,Bath & Body Works,Specialty Retailers: Other,Columbus,Ohio,43230,bbwinc.com,"33,069","$7,429","$11,249",$878,BBWI,Gina R. Boswell
482,Electronic Arts,Entertainment,Redwood City,California,94065,ea.com,"13,400","$7,426","$35,469",$802,EA,Andrew Wilson
483,Taylor Morrison Home,Homebuilders,Scottsdale,Arizona,85251,taylormorrison.com,"2,800","$7,418","$6,617",$769,TMHC,Sheryl D. Palmer
484,Zimmer Biomet Holdings,Medical Products and Equipment,Warsaw,Indiana,46580,zimmerbiomet.com,"18,000","$7,394","$27,117","$1,024",ZBH,Ivan Tornos
485,Clorox,Household and Personal Products,Oakland,California,94612,thecloroxcompany.com,"8,700","$7,389","$19,002",$149,CLX,Linda Rendle
486,Xylem,Industrial Machinery,Washington,District Of Columbia,20003,xylem.com,"23,000","$7,364","$31,246",$609,XYL,Matthew F. Pine
487,Voya Financial,Diversified Financials,New York,New York,10169,voya.com,"9,000","$7,348","$7,511",$625,VOYA,Heather H. Lavallee
488,Fastenal,Wholesalers: Diversified,Winona,Minnesota,55987,fastenal.com,"20,721","$7,347","$44,157","$1,155",FAST,Daniel L. Florness
489,Watsco,Wholesalers: Diversified,Miami,Florida,33133,watsco.com,"7,388","$7,284","$17,061",$536,WSO,Albert H. Nahmad
490,Workday,Computer Software,Pleasanton,California,94588,workday.com,"18,800","$7,259","$72,006","$1,381",WDAY,Carl M. Eschenbach
491,Old Republic International,Insurance: Property and Casualty (Stock),Chicago,Illinois,60601,oldrepublic.com,"9,200","$7,258","$8,464",$599,ORI,Craig R. Smiddy
492,RPM International,Chemicals,Medina,Ohio,44256,rpminc.com,"17,274","$7,256","$15,329",$479,RPM,Frank C. Sullivan
493,UFP Industries,"Building Materials, Glass",Grand Rapids,Michigan,49525,ufpi.com,"15,800","$7,218","$7,569",$514,UFPI,Matthew J. Missad
494,Ameren,Utilities: Gas and Electric,St. Louis,Missouri,63103,ameren.com,"9,372","$7,213","$19,711","$1,152",AEE,Martin J. Lyons Jr.
495,Knight-Swift Transportation Hldgs.,"Trucking, Truck Leasing",Phoenix,Arizona,85027,https://investor.knight-swift.com,"34,550","$7,142","$8,885",$217,KNX,Adam W. Miller
496,Monster Beverage,Beverages,Corona,California,92879,monsterbevcorp.com,"5,629","$7,140","$61,689","$1,631",MNST,Rodney C. Sacks
497,Intuitive Surgical,Medical Products and Equipment,Sunnyvale,California,94086,intuitive.com,"13,676","$7,124","$141,457","$1,798",ISRG,Gary S. Guthart
498,Super Micro Computer,"Computers, Office Equipment",San Jose,California,95131,supermicro.com,"5,126","$7,124","$59,138",$640,SMCI,Charles Liang
499,Concentrix,Information Technology Services,Newark,California,94560,concentrix.com,"440,000","$7,115","$4,342",$314,CNXC,Christopher A. Caldwell
500,O-I Glass,"Packaging, Containers",Perrysburg,Ohio,43551,o-i.com,"23,000","$7,105","$2,549",-$103,OI,Gordon J. Hardie
